order_id,customer_id,product,category,price,quantity,discount_percent,total_amount,city,region,store,sales_channel,size,payment_method,order_date,rating
1,1049,Cap,Accessories,1767.0,4.0,22.0,5513.04,Pune,West,Puma Store B,Online,XL,Card,2023-01-28,3.0
2,1142,Running Shoes,Unknown,7122.0,3.0,26.0,15810.84,Mumbai,North,Puma Store C,Unknown,S,Cash,2023-11-30,1.0
3,4121,Jacket,Apparel,2464.0,1.0,29.0,1749.4399999999998,Mumbai,South,Puma Store B,Unknown,S,Card,2023-11-30,2.0
4,2920,Unknown,Accessories,912.0,4.0,26.0,2699.52,Hyderabad,North,Puma Store C,Unknown,S,Cash,,3.0
6,3511,Jacket,Apparel,1107.0,1.0,13.0,963.09,Pune,South,Puma Store A,Store,S,UPI,2023-09-22,3.0
7,4499,Sneakers,Footwear,9886.0,2.0,6.0,18585.68,Unknown,North,Unknown,Store,XL,Cash,2023-10-23,3.0
8,4721,Jacket,Unknown,2995.0,4.0,15.0,10782.0,Delhi,West,Puma Store B,Online,XL,UPI,,4.0
9,4905,Jacket,Apparel,2405.0,2.0,18.0,3944.2,Pune,West,Puma Store A,Store,M,Card,2023-08-03,5.0
10,4918,Unknown,Apparel,1862.0,2.0,30.0,2606.8,Pune,West,Puma Store A,Store,XL,Card,2023-04-01,4.0
11,3515,Running Shoes,Unknown,10546.0,1.0,24.0,8014.96,Pune,West,Puma Store C,Online,XL,UPI,2023-05-23,3.0
12,4483,Sneakers,Footwear,5125.0,1.0,25.0,3843.75,Hyderabad,South,Puma Store C,Store,L,Card,2023-03-22,5.0
14,3215,Jacket,Apparel,1983.0,1.0,9.0,1804.53,Hyderabad,North,Puma Store B,Unknown,L,Cash,2023-05-23,5.0
15,1752,Running Shoes,Footwear,8498.0,2.0,15.0,14446.6,Unknown,South,Puma Store C,Online,L,UPI,2023-03-27,5.0
16,2245,Cap,Accessories,422.0,4.0,16.0,1417.9199999999998,Mumbai,Unknown,Puma Store B,Store,XL,Unknown,2023-12-31,1.0
17,1945,Sneakers,Footwear,5478.0,4.0,9.0,19939.92,Pune,West,Puma Store B,Store,M,UPI,2023-11-15,5.0
,3144,Jacket,Apparel,3336.0,3.0,15.0,8506.8,Unknown,Unknown,Puma Store C,Store,L,Cash,2023-12-12,3.0
20,2091,Cap,Accessories,1455.0,4.0,3.0,5645.4,Delhi,West,Puma Store A,Online,S,UPI,2023-05-06,3.0
21,3240,Jacket,Apparel,4158.0,4.0,9.0,15135.12,Delhi,North,Puma Store B,Store,S,UPI,2023-12-10,1.0
22,3660,T-shirt,Apparel,1093.0,4.0,3.0,4240.84,Bangalore,North,Puma Store A,Online,L,Card,2023-12-18,5.0
23,1774,Shorts,Apparel,1382.0,4.0,21.0,4367.12,Hyderabad,South,Puma Store A,Online,M,UPI,2023-03-13,3.0
24,4162,Cap,Accessories,1103.0,4.0,11.0,3926.68,Hyderabad,North,Puma Store B,Store,M,Unknown,2023-04-25,2.0
25,,Sneakers,Footwear,7470.0,4.0,24.0,22708.8,Pune,North,Puma Store B,Unknown,Unknown,Unknown,2023-08-02,5.0
26,1105,Unknown,Apparel,2257.0,3.0,10.0,6093.900000000001,Pune,North,Puma Store B,Store,S,Card,,3.0
27,3600,Running Shoes,Footwear,4631.0,4.0,14.0,15930.64,Mumbai,South,Puma Store A,Store,M,Cash,2023-02-06,3.0
28,1649,Jacket,Apparel,2749.0,4.0,28.0,7917.12,Mumbai,North,Puma Store B,Online,XL,Card,,4.0
29,3349,Sneakers,Unknown,5155.0,4.0,30.0,14433.999999999998,Bangalore,South,Puma Store A,Online,L,UPI,2023-11-30,5.0
30,3263,Jacket,Apparel,1447.0,4.0,2.0,5672.24,Mumbai,South,Unknown,Store,XL,Card,2023-03-11,3.0
32,3731,Cap,Accessories,1189.0,3.0,15.0,3459.99,Unknown,West,Puma Store B,Online,S,Card,2023-05-27,5.0
33,2696,Jacket,Apparel,2591.0,2.0,1.0,5130.18,Hyderabad,North,Puma Store B,Unknown,L,UPI,2023-12-07,5.0
34,,T-shirt,Apparel,3888.0,4.0,10.0,13996.8,Mumbai,West,Puma Store C,Online,S,Card,2023-12-01,2.0
35,3690,T-shirt,Apparel,4181.0,4.0,2.0,16389.52,Bangalore,South,Puma Store B,Store,S,Card,2023-08-12,1.0
36,4061,Running Shoes,Footwear,3491.0,3.0,15.0,7435.83,Pune,North,Puma Store A,Online,S,Cash,2023-11-22,2.0
37,1464,Unknown,Apparel,3316.0,1.0,27.0,2420.68,Pune,South,Unknown,Store,Unknown,Card,2023-02-08,5.0
,4142,Jacket,Apparel,1776.0,1.0,15.0,1562.88,Mumbai,North,Puma Store B,Store,L,Cash,2023-04-19,3.0
39,3010,Running Shoes,Footwear,6466.0,1.0,20.0,5172.8,Hyderabad,Unknown,Puma Store B,Unknown,S,Cash,2023-08-23,3.0
40,4840,Cap,Accessories,664.0,3.0,20.0,1593.6,Hyderabad,West,Puma Store A,Store,L,UPI,2023-06-07,4.0
41,2927,Jacket,Apparel,3029.0,4.0,25.0,9087.0,Bangalore,West,Puma Store C,Store,M,Unknown,2023-02-17,3.0
,2907,Cap,Accessories,1751.0,1.0,18.0,1435.8200000000002,Bangalore,West,Puma Store B,Unknown,M,Cash,2023-12-26,2.0
43,1085,Shorts,Unknown,1360.0,2.0,15.0,1931.2,Mumbai,North,Puma Store B,Unknown,L,Unknown,2023-12-25,5.0
44,4401,Cap,Accessories,549.0,1.0,0.0,549.0,Mumbai,South,Puma Store C,Online,L,Card,2023-10-04,2.0
45,4220,Jacket,Apparel,4292.0,3.0,12.0,11330.88,Pune,West,Puma Store C,Store,M,UPI,2023-08-02,3.0
46,4112,Cap,Accessories,736.0,4.0,28.0,2119.68,Unknown,West,Puma Store A,Store,Unknown,Card,2023-11-08,3.0
,3553,Jacket,Apparel,2651.0,3.0,3.0,7714.41,Delhi,Unknown,Puma Store C,Online,M,Cash,2023-11-11,5.0
48,4980,Running Shoes,Unknown,11526.0,3.0,15.0,29391.3,Pune,Unknown,Puma Store C,Online,XL,Cash,,3.0
49,4332,Running Shoes,Footwear,9715.0,1.0,5.0,9229.25,Delhi,North,Unknown,Store,M,Card,2023-09-19,1.0
51,2807,Cap,Accessories,1549.0,3.0,27.0,3392.31,Pune,South,Puma Store A,Online,S,Card,2023-07-06,1.0
52,4395,Running Shoes,Unknown,3228.0,4.0,15.0,12653.76,Unknown,North,Puma Store C,Unknown,M,UPI,2023-08-14,1.0
53,3402,Shorts,Apparel,2059.0,3.0,9.0,5621.070000000001,Unknown,North,Puma Store A,Online,M,Cash,,3.0
54,2276,Cap,Accessories,1796.0,2.0,12.0,3160.96,Hyderabad,North,Puma Store B,Store,M,UPI,2023-06-05,4.0
55,1858,T-shirt,Apparel,2963.0,2.0,19.0,4800.06,Hyderabad,North,Puma Store B,Store,XL,Cash,2023-02-09,1.0
56,,Shorts,Apparel,2494.0,4.0,15.0,8479.6,Delhi,West,Puma Store A,Store,S,Unknown,2023-07-01,5.0
58,3252,Jacket,Apparel,1858.0,1.0,17.0,1542.14,Unknown,Unknown,Puma Store A,Store,Unknown,Cash,2023-11-27,4.0
60,2329,T-shirt,Apparel,2245.0,3.0,3.0,6532.95,Mumbai,Unknown,Puma Store A,Store,M,UPI,2023-05-27,3.0
63,3519,Unknown,Footwear,6408.0,2.0,29.0,9099.36,Delhi,Unknown,Puma Store B,Online,L,Cash,2023-10-26,4.0
65,2618,Shorts,Apparel,3988.0,2.0,3.0,7736.719999999999,Bangalore,North,Puma Store B,Store,S,UPI,2023-07-18,4.0
66,4916,Unknown,Footwear,3536.0,4.0,15.0,12022.4,Bangalore,North,Unknown,Store,XL,Card,2023-10-04,5.0
67,,Sneakers,Footwear,9568.0,2.0,28.0,13777.92,Delhi,South,Unknown,Online,XL,UPI,2023-01-22,1.0
68,3182,Unknown,Accessories,1762.0,3.0,9.0,4810.26,Hyderabad,North,Puma Store B,Store,M,UPI,,1.0
70,1543,Running Shoes,Unknown,9723.0,4.0,1.0,38503.08,Unknown,South,Puma Store A,Online,XL,UPI,2023-02-04,2.0
71,3050,Cap,Unknown,937.0,4.0,23.0,2885.96,Delhi,South,Unknown,Store,L,Card,2023-12-21,1.0
72,1054,Sneakers,Unknown,7513.0,3.0,10.0,20285.1,Bangalore,North,Puma Store B,Store,L,Cash,2024-01-01,1.0
73,3514,Unknown,Footwear,5071.0,4.0,16.0,17038.559999999998,Delhi,West,Puma Store C,Online,XL,Cash,2023-10-24,3.0
75,2583,Shorts,Apparel,4037.0,4.0,15.0,11465.08,Mumbai,West,Puma Store B,Online,Unknown,Cash,2023-03-04,3.0
